--- Episode Start: 120 steps ---
Step 000 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 001 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 002 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 003 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 004 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 005 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 006 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 007 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 008 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 009 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 010 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 011 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 012 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 013 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 014 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 015 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 016 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 017 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 018 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 019 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 020 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 021 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 022 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
